station_id,latitude,longitude,availableDocks
0,40.76727216,-73.99392888,32
1,40.71117416,-74.00016545,27
2,40.68382604,-73.97632328,21
3,40.74177603,-74.00149746,19
4,40.69608941,-73.97803415,15
5,40.68676793,-73.95928168,17
6,40.73172428,-74.00674436,21
7,40.72710258,-74.00297088,9
8,40.761628,-73.972924,15
9,40.69239502,-73.99337909,20
10,40.69839895,-73.98068914,5
11,40.71625008,-74.0091059,30
12,40.71542197,-74.01121978,18
13,40.7208736,-73.98085795,29
14,40.72210379,-73.99724901,22
15,40.71473993,-74.00910627,3
16,40.75206231,-73.9816324,36
17,40.69089272,-73.99612349,16
18,40.748238,-73.978311,23
19,40.72917025,-73.99810231,8
20,40.75323098,-73.97032517,37
21,40.7489006,-73.97604882,22
22,40.73971301,-73.99456405,11
23,40.76068327,-73.98452729,43
24,40.7381765,-73.97738662,21
25,40.70905623,-74.01043382,25
26,40.74334935,-74.00681753,24
27,40.70037867,-73.99548059,13
28,40.70277159,-73.99383605,22
29,40.73781509,-73.99994661,21
30,40.71146364,-74.00552427,27
31,40.74195138,-74.00803013,19
32,40.7546011,-73.97187886,44
33,40.72743423,-73.99379025,1
34,40.69597683,-73.99014892,16
35,40.69475701,-73.99052739,35
36,40.7284186,-73.98713956,33
37,40.73047309,-73.98672378,37
38,40.7361967,-74.00859207,14
39,40.69196566,-73.9813018,17
40,40.68981035,-73.97493121,19
41,40.697787,-73.973736,19
42,40.688226,-73.979382,4
43,40.69196035,-73.96536851,26
44,40.69327018,-73.97703874,16
45,40.73535398,-74.00483091,9
46,40.72185379,-74.00771779,10
47,40.71870987,-74.0090009,2
48,40.72456089,-73.99565293,2
49,40.72317958,-73.99480012,23
50,40.73226398,-73.99852205,31
51,40.73543934,-73.99453948,39
52,40.73532427,-73.99800419,25
53,40.71939226,-74.00247214,4
54,40.68940747,-73.96885458,23
55,40.70122128,-74.01234218,4
56,40.70365182,-74.01167797,10
57,40.69474881,-73.98362464,14
58,40.6917823,-73.9737299,23
59,40.71729,-73.996375,31
60,40.70706456,-74.00731853,3
61,40.72229346,-73.99147535,24
62,40.72368361,-73.97574813,22
63,40.75097711,-73.98765428,56
64,40.71910537,-73.99973337,2
65,40.69308257,-73.97178913,17
66,40.68691865,-73.976682,11
67,40.68650065,-73.96563307,16
68,40.71748752,-74.0104554,2
69,40.69766564,-73.98476437,8
70,40.707873,-74.00167,13
71,40.73331967,-73.99510132,10
72,40.7643971,-73.97371465,33
73,40.70827295,-73.96834101,23
74,40.73901691,-74.00263761,16
75,40.73454567,-73.99074142,36
76,40.6845683,-73.95881081,13
77,40.713126,-73.984844,20
78,40.73028666,-73.9907647,42
79,40.71406667,-73.99293911,24
80,40.71413089,-73.9970468,6
81,40.734232,-73.986923,21
82,40.68683208,-73.9796772,14
83,40.728145,-73.990214,42
84,40.72217444,-73.98368779,35
85,40.72082834,-73.97793172,23
86,40.72362738,-73.99949601,10
87,40.70463334,-74.01361706,7
88,40.76095756,-73.96724467,13
89,40.70823502,-74.00530063,10
90,40.71427487,-73.98990025,27
91,40.71307916,-73.99851193,21
92,40.7149787,-74.013012,4
93,40.68926942,-73.98912867,22
94,40.7172274,-73.98802084,26
95,40.722055,-73.989111,26
96,40.69610226,-73.96751037,1
97,40.69383,-73.990539,20
98,40.70355377,-74.00670227,6
99,40.70955958,-74.00653609,10
100,40.72453734,-73.98185424,17
101,40.711066,-74.009447,9
102,40.717571,-74.005549,4
103,40.69991755,-73.98971773,9
104,40.696192,-73.991218,23
105,40.69236178,-73.98631746,3
106,40.689888,-73.981013,19
107,40.73624527,-73.98473765,34
108,40.72953837,-73.98426726,27
109,40.7153379,-74.01658354,20
110,40.72405549,-74.00965965,9
111,40.72043411,-74.01020609,20
112,40.71450451,-74.00562789,21
113,40.71173107,-73.99193043,26
114,40.71219906,-73.97948148,18
115,40.74238787,-73.99726235,14
116,40.72903917,-73.99404649,12
117,40.73047747,-73.99906065,19
118,40.7037992,-74.00838676,17
119,40.72580614,-73.97422494,23
120,40.71269042,-73.98776323,27
121,40.71782143,-73.97628939,19
122,40.71739973,-73.98016555,29
123,40.6851443,-73.95380904,13
124,40.73649403,-73.99704374,17
125,40.73652889,-74.00618026,25
126,40.728846,-74.008591,12
127,40.72490985,-74.00154702,12
128,40.71559509,-73.9870295,27
129,40.70530954,-74.00612572,7
130,40.76340613,-73.97722479,6
131,40.68539567,-73.97431458,13
132,40.69363137,-73.96223558,7
133,40.71602118,-73.99974372,37
134,40.71622644,-73.98261206,23
135,40.73261787,-73.99158043,23
